policy,model,Recall@20,NDCG@20,ExposureGini,Coverage@20,avg_eta,timeout_rate,on_time_rate,user_satisfaction,platform_utility,is_frontier
Seq-xQuAD-Tripartite + Greedy,Seq-xQuAD-Tripartite,0.418,0.3439593480094333,0.8881545467948776,0.2847478474784747,46.86537741291359,0.52,0.48,0.6846666666666668,0.4767093269633172,True
UserOnly + MinETA,UserOnly,0.4287222222222222,0.3423445176309438,0.8856740408881537,0.2841328413284132,53.40111974998816,0.711340206185567,0.2886597938144329,0.6654639175257733,0.424022713902498,True
Seq-Tuned + MinETA,Seq-Tuned,0.4675,0.3651586247108996,0.892677422306067,0.2884378843788437,56.03898248075594,0.7096774193548387,0.2903225806451612,0.6333333333333335,0.4147124791201947,True
LightGBM-LTR + MinETA,LightGBM-LTR,0.4424444444444445,0.3243412462458471,0.7942149231781284,0.4345018450184502,54.808857478944624,0.7419354838709677,0.2580645161290322,0.5801075268817206,0.3921929224746281,True
Seq-xQuAD-Tripartite,Seq-xQuAD-Tripartite,0.418,0.3439593480094333,0.8881545467948776,0.2847478474784747,48.98088682277758,0.5543478260869565,0.4456521739130434,0.665217391304348,0.4661820953398488,False
Popular + Nearest,Popular,0.047,0.0210370789200092,0.9952190189306824,0.006150061500615,86.63945067576243,0.8536585365853658,0.1463414634146341,0.4634146341463416,0.3097963910332478,False
